tweet_id|created_at|author_id|author_username|author_geo|conversation_id|referenced_id|reference_type|pub_rt_cnt|pub_like_cnt|pub_rep_cnt|pub_qt_cnt|depth
1529664585585803264|2022-05-26T03:23:51.000Z|1052896620797460481|RepHoulahan|West Chester, PA|1529664585585803264|1529581259290181632|retweeted|25|0|0|0|0
1529450378508615681|2022-05-25T13:12:40.000Z|1052896620797460481|RepHoulahan|West Chester, PA|1529450378508615681|||23|78|18|2|0
1529218918459461632|2022-05-24T21:52:56.000Z|1052896620797460481|RepHoulahan|West Chester, PA|1529218918459461632|||8|38|9|2|0
1529212110223331328|2022-05-24T21:25:53.000Z|1052896620797460481|RepHoulahan|West Chester, PA|1529212110223331328|||25|133|14|2|0
1529636995143696384|2022-05-26T01:34:13.000Z|22012091|LeaderHoyer|Washington, DC|1529636993906487296|1529636993906487296|replied_to|3|14|5|0|
1529636993906487296|2022-05-26T01:34:13.000Z|22012091|LeaderHoyer|Washington, DC|1529636993906487296|||6|16|1|0|0
1529593640141656066|2022-05-25T22:41:56.000Z|22012091|LeaderHoyer|Washington, DC|1529593638648528896|1529593638648528896|replied_to|7|22|5|0|
1529593638648528896|2022-05-25T22:41:56.000Z|22012091|LeaderHoyer|Washington, DC|1529593638648528896|||13|36|5|1|0
1529573940473077765|2022-05-25T21:23:40.000Z|22012091|LeaderHoyer|Washington, DC|1529573940473077765|||8|36|14|2|0
1529105191701716992|2022-05-24T14:21:01.000Z|935033864|RepRichHudson||1529105191701716992|1528866118609272832|quoted|4|6|12|1|0
1529538712383676417|2022-05-25T19:03:41.000Z|1071102246|RepHuffman|California's North Coast|1529538711192576000|1529538711192576000|replied_to|9|49|6|0|
1529538711192576000|2022-05-25T19:03:40.000Z|1071102246|RepHuffman|California's North Coast|1529538711192576000|||11|65|12|0|0
1529513448899547136|2022-05-25T17:23:17.000Z|1071102246|RepHuffman|California's North Coast|1529513448899547136|1529496924650455050|retweeted|6|0|0|0|0
1529484140260769798|2022-05-25T15:26:50.000Z|1071102246|RepHuffman|California's North Coast|1529484140260769798|1529223306561441800|retweeted|141|0|0|0|0
1529484070513786880|2022-05-25T15:26:33.000Z|1071102246|RepHuffman|California's North Coast|1529484070513786880|1529223302756982784|retweeted|117|0|0|0|0
1529635044071034882|2022-05-26T01:26:28.000Z|63650107|repdarrellissa|California's 50th District|1529635044071034882|||155|945|61|4|0
1529517035067260930|2022-05-25T17:37:32.000Z|63650107|repdarrellissa|California's 50th District|1529517035067260930|||540|2553|231|43|0
1529264004153090050|2022-05-25T00:52:05.000Z|63650107|repdarrellissa|California's 50th District|1529264004153090050|||85|753|87|8|0
1529119040119111680|2022-05-24T15:16:03.000Z|63650107|repdarrellissa|California's 50th District|1529119040119111680|||488|2238|129|8|0
1529711314704207872|2022-05-26T06:29:32.000Z|80612021|JacksonLeeTX18|Houston, TX|1529711314704207872|||11|48|5|0|0
1529711251479314433|2022-05-26T06:29:17.000Z|80612021|JacksonLeeTX18|Houston, TX|1529711251479314433|||4|19|4|2|0
1529711174547300352|2022-05-26T06:28:59.000Z|80612021|JacksonLeeTX18|Houston, TX|1529711174547300352|||8|48|10|2|0
1529668638973779968|2022-05-26T03:39:58.000Z|80612021|JacksonLeeTX18|Houston, TX|1529668638973779968|1529261357182361604|retweeted|74|0|0|0|0
1529574567554973697|2022-05-25T21:26:09.000Z|80612021|JacksonLeeTX18|Houston, TX|1529574567554973697|||15|57|6|0|0
1529244723973607424|2022-05-24T23:35:28.000Z|1341903465610686464|RepRonnyJackson||1529244723973607424|||6|69|103|7|0
1529281921754271744|2022-05-25T02:03:17.000Z|1276232539510919168|RepJacobs||1529281921754271744|||4|21|146|6|0
1529125295051182082|2022-05-24T15:40:54.000Z|1276232539510919168|RepJacobs||1529125295051182082|||3|11|19|2|0
1529559248123863040|2022-05-25T20:25:17.000Z|1345103905869455361|RepSaraJacobs||1529559246806863873|1529559246806863873|replied_to|1|8|1|0|
1529559246806863873|2022-05-25T20:25:16.000Z|1345103905869455361|RepSaraJacobs||1529559246806863873|||4|13|1|0|0
1529547405720444931|2022-05-25T19:38:13.000Z|1345103905869455361|RepSaraJacobs||1529547405720444931|||14|63|6|0|0
1529545103882207232|2022-05-25T19:29:04.000Z|1345103905869455361|RepSaraJacobs||1529545103882207232|1529197205915160576|retweeted|6|0|0|0|0
1529541273702506496|2022-05-25T19:13:51.000Z|1345103905869455361|RepSaraJacobs||1529541273702506496|1529442406428557313|retweeted|88|0|0|0|0
1529650027433299968|2022-05-26T02:26:00.000Z|815733290955112448|RepJayapal|Seattle, WA|1529650027433299968|1529635340482379779|retweeted|45|0|0|0|0
1529613289654583298|2022-05-26T00:00:01.000Z|815733290955112448|RepJayapal|Seattle, WA|1529613289654583298|1529184216453369856|quoted|45|180|48|2|0
1529594408999432193|2022-05-25T22:45:00.000Z|815733290955112448|RepJayapal|Seattle, WA|1529594408999432193|||171|688|156|10|0
1529556660120788992|2022-05-25T20:15:00.000Z|815733290955112448|RepJayapal|Seattle, WA|1529556660120788992|1529079702211530753|quoted|295|1058|70|4|0
1529537788995149826|2022-05-25T19:00:00.000Z|815733290955112448|RepJayapal|Seattle, WA|1529537788995149826|||348|1550|153|27|0
1529468640504041472|2022-05-25T14:25:14.000Z|467823431|RepJeffries|Brooklyn, NY|1529468640504041472|||1127|8262|579|86|0
1529248972166111232|2022-05-24T23:52:21.000Z|467823431|RepJeffries|Brooklyn, NY|1529248972166111232|||332|1665|225|19|0
1529216262387208192|2022-05-24T21:42:23.000Z|211530910|RepBillJohnson|Eastern/Southeastern Ohio|1529216262387208192|||3|17|35|1|0
1529138309548625921|2022-05-24T16:32:37.000Z|211530910|RepBillJohnson|Eastern/Southeastern Ohio|1529138309548625921|||32|34|5|2|0
1529620538175508480|2022-05-26T00:28:49.000Z|1074782372594413569|RepDustyJohnson|South Dakota|1529620538175508480|1529606255446315011|retweeted|2|0|0|0|0
1529461636142178304|2022-05-25T13:57:24.000Z|168502762|RepEBJ|Dallas, Texas|1529461636142178304|||51|124|11|2|0
1529193225457651712|2022-05-24T20:10:50.000Z|168502762|RepEBJ|Dallas, Texas|1529193225457651712|||19|62|4|2|0
1529655603689299968|2022-05-26T02:48:10.000Z|24745957|RepHankJohnson|Lithonia, GA; Washington|1529655592616329219|1529655602271633409|replied_to|4|11|1|0|
1529655602271633409|2022-05-26T02:48:09.000Z|24745957|RepHankJohnson|Lithonia, GA; Washington|1529655592616329219|1529655599616622595|replied_to|4|12|2|0|
1529655599616622595|2022-05-26T02:48:09.000Z|24745957|RepHankJohnson|Lithonia, GA; Washington|1529655592616329219|1529655598178000896|replied_to|2|2|1|0|
1529655598178000896|2022-05-26T02:48:08.000Z|24745957|RepHankJohnson|Lithonia, GA; Washington|1529655592616329219|1529655597108543488|replied_to|2|1|2|1|
1529655597108543488|2022-05-26T02:48:08.000Z|24745957|RepHankJohnson|Lithonia, GA; Washington|1529655592616329219|1529655595833470976|replied_to|2|1|2|0|
1529466947997421571|2022-05-25T14:18:31.000Z|827279765287559171|RepMikeJohnson|Washington, DC|1529466947997421571|||21|81|57|5|0
1529210548151365635|2022-05-24T21:19:40.000Z|827279765287559171|RepMikeJohnson|Washington, DC|1529210548151365635|1529203736794615810|quoted|83|686|640|27|0
1529163397555793922|2022-05-24T18:12:19.000Z|827279765287559171|RepMikeJohnson|Washington, DC|1529163397555793922|1528882105186328577|quoted|69|220|20|1|0
1529481604137099264|2022-05-25T15:16:45.000Z|1345883634046279681|RepMondaire||1529481604137099264|||56|325|13|4|0
1529167850299985921|2022-05-24T18:30:00.000Z|1345883634046279681|RepMondaire||1529167850299985921|||2|12|2|0|0
1529097357983375360|2022-05-24T13:49:54.000Z|1345883634046279681|RepMondaire||1529097357983375360|||14|114|15|2|0
1529661952636723202|2022-05-26T03:13:23.000Z|18166778|Jim_Jordan|Washington, D.C. |1529661952636723202|||530|2801|1233|64|0
1529623690396278786|2022-05-26T00:41:21.000Z|18166778|Jim_Jordan|Washington, D.C. |1529623690396278786|||77|802|587|16|0
1529601553828663296|2022-05-25T23:13:23.000Z|18166778|Jim_Jordan|Washington, D.C. |1529598191854923776|1529598197764698112|replied_to|90|622|169|7|
1529598197764698112|2022-05-25T23:00:03.000Z|18166778|Jim_Jordan|Washington, D.C. |1529598191854923776|1529598191854923776|replied_to|266|1485|227|17|
1529598191854923776|2022-05-25T23:00:02.000Z|18166778|Jim_Jordan|Washington, D.C. |1529598191854923776|||518|2090|1050|52|0
1529584543094669318|2022-05-25T22:05:48.000Z|976969338|RepDaveJoyce|Washington, DC|1529584509552939009|1529584541266063362|replied_to|2|10|15|0|
